offset_exp1,weight_exp1,exp_exp1,k_exp1,offset_exp2,weight_exp2,exp_exp2,k_exp2,offset_exp3,weight_exp3,exp_exp3,k_exp3,offset_exp4,weight_exp4,exp_exp4,k_exp4,rs_exp1,truers_exp1,rs_exp2,truers_exp2,rs_exp3,truers_exp3,rs_exp4,truers_exp4,aic1TB_exp1,aic1TBe_exp1,aicHIST_exp1,aicHISTe_exp1,aic1TB_exp2,aic1TBe_exp2,aicHIST_exp2,aicHISTe_exp2,aic1TB_exp3,aic1TBe_exp3,aicHIST_exp3,aicHISTe_exp3,aic1TB_exp4,aic1TBe_exp4,aicHIST_exp4,aicHISTe_exp4,aicdiff_exp1,aicdiff_exp2,aicdiff_exp3,aicdiff_exp4
92.49202703,0.448621018,1.352888974,0.183316662,84.86498184,13.60796692,0.422717084,0.204428535,54.13338442,0.525506888,1.592273987,0.25422695,100,35.1502402,0.138395793,0.028635655,0.365974099,0.365155423,0.736929933,0.512906566,0.179489209,0.120937889,0.67448214,0.67950895,55.63173674,57.58024973,2.172318646,0,260.722298,248.2449173,29.44903659,0,11.07985039,12.49567547,-0.183290003,0,158.6334104,158.5323307,43.52650441,0,-2.172318646,-29.44903659,0.183290003,-43.52650441
86.23926371,0.000742425,2.760523022,0.107386113,87.93892821,9.766665281,0.412602139,0.713248687,69.45623926,4.545336459,0.695145081,0.133036916,72.08539663,10.17325619,0.49903423,0.511193626,0.462894342,0.460502712,0.26286923,0.262319027,0.150786225,0.145023547,0.152610113,0.143081318,105.8892138,91.77813318,24.80412407,0,19.23249467,6.672878211,15.60055303,0,10.59291043,10.95552799,-1.207480668,0,6.221677191,3.320802666,2.014354571,0,-24.80412407,-6.672878211,1.207480668,-2.014354571
100,1.097238715,1.574143981,0.022779968,95.96197144,1.617514317,0.898589633,0.13430238,84.88757378,6.94E-11,1.015854348,0.58349957,71.28775543,4.76629015,3.999889127,3.87E-06,0.629074117,0.627935258,0.420333836,0.417750473,0.00807319,0.000942971,0.100673059,0.096480757,249.6913697,250.4064412,19.2536306,0,63.23525444,53.30538773,-1.875130024,0,-4,-2,-2,0,8.47441855,10.44430198,1.453354854,0,-19.2536306,1.875130024,4,-1.453354854
96.09825762,0.314668207,1.703733938,0.071395969,99.99999999,13.98165722,0.342431035,0.449604625,99.99993294,50.9930945,0.01307817,0.999999999,99.99999999,18.08264259,0.351597588,0.718560124,0.805641787,0.804902125,0.239625957,0.233786675,0.043925101,0.007369218,0.135168348,0.106564361,404.4080076,405.8313243,122.6989249,0,29.47999069,15.76638426,16.31579695,0,-2.838027245,-1.999999995,-0.896183106,0,5.331551679,0.157233971,5.040324204,0,-122.6989249,-15.76638426,2.838027245,-0.157233971
99.99999999,2.92260341,0.973677748,0.106042227,90.46795865,11.5051894,0.442469467,0.435370278,74.38278509,2.113381938,1.157779031,0.380295968,17.19420353,14.37164971,0.093680301,0.865339467,0.962362185,0.853930943,0.486036678,0.485828224,0.127861985,0.112940355,0.401927862,0.296066757,924.3471891,918.629997,-1.068279061,0,61.38891095,48.14594883,22.4159311,0,9.698806635,10.63686918,-1.826917974,0,21.256189,-0.130569203,22.44183133,0,1.068279061,-22.4159311,1.826917974,0.130569203
80.2433751,0.004416611,3.012099327,0.052046168,71.7977166,31.50252914,0.200162116,0.068447108,81.30273108,16.51291451,0.414196223,0.598085609,44.5562127,5.47E-11,0.519273365,0.344496997,0.558160467,0.554233832,0.589344346,0.566890628,0.41776674,0.405357992,0.003428205,0.015400826,183.7517901,185.5779271,85.34213501,0,164.2628735,153.2693181,62.36606619,0,33.49616237,14.8139604,11.71850513,0,-4,-2,-2,0,-85.34213501,-62.36606619,-11.71850513,4
99.99999855,0.069244888,2.404662495,0.140469699,99.99999219,12.80554969,0.430480619,0.463594253,89.5579918,12.2204729,0.802721513,0.341861057,25.59763292,1.36E-13,3.463509154,0.002692793,0.354776072,0.336342734,0.287057225,0.285233126,0.594453327,0.593481061,0.008260903,0.082602794,75.77471215,76.94915333,40.39124265,0,27.12281426,19.74111106,5.512833869,0,83.4998722,76.66307246,-0.677709559,0,-3.999999999,-2,-1.999999979,0,-40.39124265,-5.512833869,0.677709559,3.999999999
80.86816662,0.002194951,3.160172555,0.051658448,99.40285779,26.5995801,0.242425502,0.275314754,79.38084578,42.21501106,0.058203784,0.149823154,41.56976439,6.648425639,0.640674901,0.383375888,0.545957453,0.541922371,0.454992692,0.447647945,0.199317392,0.198800853,0.099665447,0.099017155,187.9441532,189.5158942,100.6430439,0,95.83551712,50.42504324,37.95922193,0,33.48759903,34.6409078,19.88150642,0,4.183728151,4.422330666,-0.739002756,0,-100.6430439,-37.95922193,-19.88150642,0.739002756
98.43850028,0.007030117,3.01355698,0.104679044,80.60328334,4.132673969,0.62043435,0.412841297,99.99999985,50.10061561,0.110634403,1,82.9161598,4.717447459,1.315104735,0.033806472,0.354812648,0.336379227,0.449622171,0.446995578,0.110701207,0.100268608,0.521692435,0.52157018,80.32884446,82.18066396,51.02062615,0,61.5411949,44.39922984,9.629393707,0,2.663654441,-1.999999997,3.1286523,0,107.0930704,106.4141685,0.53137062,0,-51.02062615,-9.629393707,1.999999997,-0.53137062
100,10.69766024,0.581648853,0.367073301,100,31.42767307,0.270535369,0.229264011,63.47287023,0.002102099,3.999999999,0.028006264,82.12798457,0.016783319,3.999999997,0.565110084,0.258573779,0.259509027,0.577683202,0.575053491,0.08640486,0.085246017,0.125836799,0.048625255,35.51729267,12.05199299,24.111427,0,147.8560427,103.6026848,93.54070857,0,8.246448328,9.345489646,4.607425407,0,1.822799074,0.389931788,3.680853264,0,-12.05199299,-93.54070857,-4.607425407,-0.389931788
