is_manipulated,manipulation_angle,online_feedback,endpoint_feedback,was_restarted,is_judged,label,too_slow,manipulation_type,rt,target_angle,reach_angle,diff_angle,target_dist,trial,id,exp_version,judgement_rt,judgement_decision_time,judgement_loc,judgement_width,judgement_score
0,0,1,1,0,0,BASELINE,0,NONE,0.651654005,90,93.5190794,3.5190794,70,1,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.377016783,45,43.99039762,-1.00960238,70,2,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.308267832,180,-174.926761,5.073239012,70,3,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.548897982,0,6.181810216,6.181810216,70,4,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.421689987,135,145.8421287,10.84212868,70,5,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.471618891,-90,-92.00254381,-2.002543808,70,6,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.424158812,-45,-42.46001325,2.539986751,70,7,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.349863052,-135,-142.4638983,-7.463898274,70,8,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.325126886,-45,-36.33093233,8.669067669,70,9,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.389010906,-135,-149.3637502,-14.3637502,70,10,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.381236076,135,139.6649787,4.664978727,70,11,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.371937037,-90,-85.94684104,4.053158965,70,12,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.273920059,0,9.515275138,9.515275138,70,13,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.360316992,180,-173.5652291,6.434770944,70,14,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.36994791,45,43.85795028,-1.142049718,70,15,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.385657787,90,95.49229708,5.492297076,70,16,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.300091982,-45,-54.54746349,-9.547463487,70,17,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.301251173,0,2.083221641,2.083221641,70,18,msl000394,v2,0,0,0,0,0
0,0,1,1,0,0,BASELINE,0,NONE,0.550934076,90,86.94335196,-3.056648042,70,19,msl000394,v2,0,0,0,0,0
