"","is_manipulated","manipulation_angle","online_feedback","endpoint_feedback","is_judged","label","too_slow","too_late","manipulation_type","rt","mt","target_angle","reach_angle","diff_angle","trial","id","group","judgement_width"
"5001",FALSE,0,TRUE,TRUE,FALSE,"BASELINE",TRUE,FALSE,"none",595.128,1887.01,315,315.191,0.190999999999974,1,26,"3",0
"5002",FALSE,0,TRUE,TRUE,FALSE,"BASELINE",TRUE,FALSE,"none",749.225,1312.405,315,315.901,0.90100000000001,2,26,"3",0
"5003",FALSE,0,TRUE,TRUE,FALSE,"BASELINE",TRUE,FALSE,"none",393.484,1204.92,315,314.945,-0.0550000000000068,3,26,"3",0
"5004",FALSE,0,TRUE,TRUE,FALSE,"BASELINE",TRUE,FALSE,"none",784.655,1545.315,315,315.355,0.355000000000018,4,26,"3",0
"5005",FALSE,0,TRUE,TRUE,FALSE,"BASELINE",TRUE,FALSE,"none",439.75,1241.39,315,314.973,-0.0269999999999868,5,26,"3",0
"5006",FALSE,0,TRUE,TRUE,FALSE,"BASELINE",TRUE,FALSE,"none",510.455,865.83,315,315.328,0.327999999999975,6,26,"3",0
"5007",FALSE,0,TRUE,TRUE,FALSE,"BASELINE",TRUE,FALSE,"none",771.973,1005.565,315,315.328,0.327999999999975,7,26,"3",0
"5008",FALSE,0,TRUE,TRUE,FALSE,"BASELINE",TRUE,FALSE,"none",505.632,527.515,315,312.375,-2.625,8,26,"3",0
"5009",FALSE,0,TRUE,TRUE,FALSE,"BASELINE",TRUE,FALSE,"none",476.627,952.215,315,313.935,-1.065,9,26,"3",0
"5010",FALSE,0,TRUE,TRUE,FALSE,"BASELINE",TRUE,FALSE,"none",360.912,1353.775,315,315.515,0.514999999999986,10,26,"3",0
"5011",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",TRUE,FALSE,"none",456.538,871.605,315,315.218,0.218000000000018,11,26,"3",100
"5012",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",TRUE,FALSE,"none",472.546,376.66,315,312.935,-2.065,12,26,"3",100
"5013",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",TRUE,FALSE,"none",495.713,1001.565,315,315.246,0.245999999999981,13,26,"3",100
"5014",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",TRUE,FALSE,"none",518.672,1007.805,315,315.437,0.437000000000012,14,26,"3",100
"5015",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",TRUE,FALSE,"none",513.724,2051.28,315,315.518,0.517999999999972,15,26,"3",100
"5016",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",TRUE,FALSE,"none",400.709,859.545,315,316.42,1.42000000000002,16,26,"3",100
"5017",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",TRUE,FALSE,"none",376.537,938.475,315,315.464,0.463999999999999,17,26,"3",100
"5018",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",FALSE,FALSE,"none",430.132,113.26,315,312.579,-2.42099999999999,18,26,"3",100
"5019",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",TRUE,FALSE,"none",436.099,492.995,315,315.917,0.916999999999973,19,26,"3",100
"5020",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",FALSE,FALSE,"none",399.795,130.225,315,312.921,-2.07900000000001,20,26,"3",100
"5021",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",FALSE,FALSE,"none",386.051,263.885,315,314.646,-0.353999999999985,21,26,"3",100
"5022",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",FALSE,FALSE,"none",449.603,178.015,315,315.682,0.682000000000016,22,26,"3",100
"5023",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",FALSE,FALSE,"none",464.821,114.335,315,312.274,-2.726,23,26,"3",100
"5024",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",FALSE,FALSE,"none",454.961,255.39,315,318.036,3.036,24,26,"3",100
"5025",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",FALSE,FALSE,"none",428.969,135.28,315,315.218,0.218000000000018,25,26,"3",100
"5026",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",TRUE,FALSE,"none",467.215,477.005,315,315.027,0.0269999999999868,26,26,"3",100
"5027",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",TRUE,FALSE,"none",393.713,506.015,315,315.408,0.408000000000015,27,26,"3",100
"5028",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",FALSE,FALSE,"none",424.329,258.04,315,313.991,-1.00900000000001,28,26,"3",98
"5029",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",TRUE,FALSE,"none",363.484,334.03,315,317.364,2.36399999999998,29,26,"3",70
"5030",FALSE,0,TRUE,TRUE,TRUE,"BASELINE_REPORT",TRUE,FALSE,"none",381.348,449.655,315,315.109,0.10899999999998,30,26,"3",100
"5031",TRUE,-0.9,TRUE,TRUE,TRUE,"ADAPT",FALSE,FALSE,"rot",354.069,144.375,315,313.821,-1.17899999999997,31,26,"3",100
"5032",TRUE,-0.061,TRUE,TRUE,TRUE,"ADAPT",TRUE,FALSE,"rot",389.818,442.095,315,316.284,1.28399999999999,32,26,"3",100
"5033",TRUE,-4.226,TRUE,TRUE,TRUE,"ADAPT",FALSE,FALSE,"rot",385.02,129.19,315,315.698,0.697999999999979,33,26,"3",98
"5034",TRUE,-5.923,TRUE,TRUE,TRUE,"ADAPT",FALSE,FALSE,"rot",484.273,92.675,315,316.949,1.94900000000001,34,26,"3",98
"5035",TRUE,-0.004,TRUE,TRUE,TRUE,"ADAPT",TRUE,FALSE,"rot",448.448,433.19,315,316.09,1.08999999999997,35,26,"3",78
"5036",TRUE,-5.07,TRUE,TRUE,TRUE,"ADAPT",FALSE,FALSE,"rot",463.479,100.885,315,315.463,0.463000000000022,36,26,"3",100
"5037",TRUE,1.162,TRUE,TRUE,TRUE,"ADAPT",TRUE,FALSE,"rot",402.149,376.595,315,316.504,1.50400000000002,37,26,"3",74
"5038",TRUE,-3.34,TRUE,TRUE,TRUE,"ADAPT",TRUE,FALSE,"rot",410.843,2285.38,315,319.01,4.00999999999999,38,26,"3",78
"5039",TRUE,-1.993,TRUE,TRUE,TRUE,"ADAPT",FALSE,FALSE,"rot",464.856,100.915,315,314.024,-0.975999999999999,39,26,"3",86
"5040",TRUE,1.933,TRUE,TRUE,TRUE,"ADAPT",TRUE,FALSE,"rot",444.898,1735.1,315,314.24,-0.759999999999991,40,26,"3",82
